ScientificName,AphiaID,Kingdom,Phylum,Class,Order,Family,Genus,Rank,Source
Psednos delawarei,159537,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos dentatus,274619,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos gelatinosus,274620,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos griseus,274621,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos groenlandicus,159538,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos harteli,159539,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos hateli,1578061,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos islandicus,274622,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos kaganovskii,1846801,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos longiventris,835011,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos melanocephalus,159540,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos mexicanus,274623,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos microps,274624,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos microstomus,835012,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos micruroides,274625,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos micrurus,274626,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos mirabilis,159541,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos nataliae,274627,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos nemnezi,835013,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos pallidus,274628,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos platyoperculosus,835014,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos rossi,159542,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos sargassicus,274629,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos spirohira,274630,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos steini,274631,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos struthersi,835015,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Psednos whitleyi,274632,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Psednos,Species,WoRMS_API
Pseudoliparis amblystomopsis,282444,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Pseudoliparis,Species,WoRMS_API
Pseudoliparis belyaevi,282445,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Pseudoliparis,Species,WoRMS_API
Pseudoliparis swirei,1047485,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Pseudoliparis,Species,WoRMS_API
Pseudonotoliparis rassi,282457,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Pseudonotoliparis,Species,WoRMS_API
Rhinoliparis attenuatus,282584,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Rhinoliparis,Species,WoRMS_API
Rhinoliparis barbulifer,282585,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Rhinoliparis,Species,WoRMS_API
Rhodichthys melanocephalus,834902,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Rhodichthys,Species,WoRMS_API
Rhodichthys regina,127231,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Rhodichthys,Species,WoRMS_API
Squaloliparis dentatus,282856,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Squaloliparis,Species,WoRMS_API
Temnocora candida,282939,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Temnocora,Species,WoRMS_API
Trismegistus owstoni,322160,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Trismegistus,Species,WoRMS_API
Volodichthys catherinae,1578202,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Volodichthys,Species,WoRMS_API
Volodichthys herwigi,1011315,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Volodichthys,Species,WoRMS_API
Volodichthys parini,1043430,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Volodichthys,Species,WoRMS_API
Volodichthys smirnovi,1011314,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Volodichthys,Species,WoRMS_API
Volodichthys solovjevae,712582,Animalia,Chordata,Teleostei,Perciformes,Liparidae,Volodichthys,Species,WoRMS_API
Derjuginia japonica,317677,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Derjuginia,Species,WoRMS_API
Derjuginia ochotensis,317678,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Derjuginia,Species,WoRMS_API
Phucocoetus variegatus,322543,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Phucocoetus,Species,WoRMS_API
Grimpoteuthis abyssicola,342079,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis albatrossi,342080,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis angularis,1565821,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis antarctica,342081,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis bathynectes,342082,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis boylei,153093,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis bruuni,342083,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis caudani,342084,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis challengeri,153073,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis discoveryi,153084,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis feitiana,1808522,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis glacialis,342085,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis greeni,1565820,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis hippocrepium,342086,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis imperator,1507664,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis innominata,410363,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis mawsoni,342087,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis meangensis,342088,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis megaptera,157020,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis pacifica,342089,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis plena,157021,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis tuftsi,342090,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis umbellata,153141,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis umbellatus,140651,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Grimpoteuthis wuelkeri,153094,Animalia,Mollusca,Cephalopoda,Octopoda,Grimpoteuthidae,Grimpoteuthis,Species,WoRMS_API
Vampyroteuthis infernalis,141887,Animalia,Mollusca,Cephalopoda,Vampyromorpha,Vampyroteuthidae,Vampyroteuthis,Species,WoRMS_API
Vampyroteuthis pseudoinfernalis,1759859,Animalia,Mollusca,Cephalopoda,Vampyromorpha,Vampyroteuthidae,Vampyroteuthis,Species,WoRMS_API
Magnapinna atlantica,342363,Animalia,Mollusca,Cephalopoda,Oegopsida,Magnapinnidae,Magnapinna,Species,WoRMS_API
Magnapinna pacifica,342364,Animalia,Mollusca,Cephalopoda,Oegopsida,Magnapinnidae,Magnapinna,Species,WoRMS_API
Magnapinna talismani,342365,Animalia,Mollusca,Cephalopoda,Oegopsida,Magnapinnidae,Magnapinna,Species,WoRMS_API
Stauroteuthis albatrossi,833135,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Stauroteuthis gilchristi,410399,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Stauroteuthis hippocrepium,833140,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Stauroteuthis kengrahami,1672057,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Stauroteuthis mawsoni,1329236,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Stauroteuthis syrtensis,153122,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Stauroteuthis wuelkeri,564964,Animalia,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Species,WoRMS_API
Eurythenes aequilatus,1033439,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes andhakarae,849541,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes atacamensis,1513132,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes fusiformis,492009,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes gryllus,102563,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes inti,1820112,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes magellanicus,849543,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes maldoror,849546,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes microps,492010,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes obesus,102564,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes plasticus,1424175,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes sigmiferus,849547,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes sp_DISCOLL_PAP_B,1579386,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Eurythenes thurstoni,237428,Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Species,WoRMS_API
Hirondellea abyssalis,102587,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea antarctica,237757,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea brevicaudata,490548,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea diamantina,490550,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea dubia,428676,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea endeavour,490552,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea fidenter,490553,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea franklin,490554,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea gigas,428677,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea glutonis,490556,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea guyoti,490558,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea kapala,490559,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea namarensis,731223,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea naturaliste,490560,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea sindhusagar,468196,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea sonne,817312,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea thurstoni,817310,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea trioculata,102586,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea wagneri,817311,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Hirondellea wolfendeni,490562,Animalia,Arthropoda,Malacostraca,Amphipoda,Hirondelleidae,Hirondellea,Species,WoRMS_API
Alicella gigantea,488208,Animalia,Arthropoda,Malacostraca,Amphipoda,Alicellidae,Alicella,Species,WoRMS_API
Alicella scotiae,1696268,Animalia,Arthropoda,Malacostraca,Amphipoda,Alicellidae,Alicella,Species,WoRMS_API
Gigantocypris agassizi,176758,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Gigantocypris agassizii,783865,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Gigantocypris australis,176759,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Gigantocypris danae,127713,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Gigantocypris dracontovalis,127714,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Gigantocypris muelleri,127715,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Gigantocypris pellucida,176771,Animalia,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Gigantocypris,Species,WoRMS_API
Bathynomus affinis,259249,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus brucei,292757,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus bruscai,292758,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus crosnieri,292759,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus decemspinosus,259250,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus doederleini,259251,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus doederleinii,1531641,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus giganteus,259252,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus immanis,259253,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus jamesi,1059800,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus kapala,259254,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus keablei,292760,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus kensleyi,292761,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus lowryi,259255,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus maxeyorum,882770,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus miyarei,259256,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus obtusus,259257,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus paracelensis,1806336,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus pelor,259258,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus propinquus,259259,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus raksasa,1446833,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus richeri,292762,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus vaderi,1791043,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus wilsoni,1804672,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Bathynomus yucatanensis,1596762,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Bathynomus,Species,WoRMS_API
Psychrolutes inermis,274673,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes latus,306390,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes macrocephalus,221445,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes marcidus,274674,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes marmoratus,274675,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes microporos,274676,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes occidentalis,274677,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes paradoxus,254566,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes phrictus,274678,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes pustulosa,401187,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes pustulosus,306391,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes sigalutes,274679,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes sio,274680,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes subspinosus,127239,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Psychrolutes zebra,306392,Animalia,Chordata,Teleostei,Perciformes,Psychrolutidae,Psychrolutes,Species,WoRMS_API
Relicanthus daphneae,1338746,Animalia,Cnidaria,Hexacorallia,Actiniaria,Relicanthidae,Relicanthus,Species,WoRMS_API
Relicanthus daphneae,1562157,Animalia,Cnidaria,Hexacorallia,Actiniaria,Relicanthidae,Relicanthus,Species,WoRMS_API
Scotoplanes albida,530439,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes angelicus,174049,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes clarki,428804,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes delagei,124749,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes facetus,529751,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes galatheae,428805,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes gilpinbrowni,530233,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes globosa,148773,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes hanseni,528870,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes insignis,529360,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes kurilensis,528871,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes robusta,530449,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes theeli,530223,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Scotoplanes theli,732540,Animalia,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Scotoplanes,Species,WoRMS_API
Alaysia solwarawarriors,1697811,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Alaysia,Species,WoRMS_API
Alaysia spiralis,265833,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Alaysia,Species,WoRMS_API
Archeolinum contortum,766425,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Archeolinum,Species,WoRMS_API
Arcovestia ivanovi,265838,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Arcovestia,Species,WoRMS_API
Birsteinia vitjasi,265845,Animalia,Annelida,Polychaeta,Sabellida,Siboglinidae,Birsteinia,Species,WoRMS_API
